Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2020-01-19 01:01:00,O,989,29872,700,59,618,0,1,28,65535,65535,65535,81,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,17931
2020-01-19 01:02:00,O,990,29874,699,59,617,0,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,48715
2020-01-19 01:03:00,O,991,29874,699,59,616,0,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,57846
2020-01-19 01:04:00,O,992,29875,698,59,616,0,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,7061
2020-01-19 01:05:01,O,993,29876,698,59,616,1,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,16828
2020-01-19 01:06:00,O,994,29873,697,59,615,1,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,6499
2020-01-19 01:07:00,O,995,29877,696,59,615,0,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,45334
2020-01-19 01:08:00,O,996,29876,696,59,614,0,1,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,5411
2020-01-19 01:09:00,O,997,29876,696,59,614,0,0,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,10580
2020-01-19 01:10:00,O,998,29878,695,59,614,0,0,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,11714
2020-01-19 01:11:00,O,999,29875,694,59,613,0,0,28,65535,65535,65535,82,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,64955
2020-01-19 01:12:01,O,1000,29878,694,59,614,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,20420
2020-01-19 01:13:00,O,1001,29878,694,59,614,0,0,28,65535,65535,65535,83,65535,0,0,0,0,65535,0,17,6465,72,235,235,65535,65535,0,0,0,0,0,0,818,6,75,616,1805,10,13,18155
